"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","SteCoe_1308",3.70014281795744e-20,1.0068458621944e-15,1.00412115985592,0.109185886305187,5.37259731161848,0.308140425400922,0.00510261157063282,0.00244756749577446,0.00920325775126635,0.00920325775126635
"2","SteCoe_12841",1.69689576019793e-18,1.92852900879511e-14,1.75399080355922,0.199866716030086,4.56161797885294,0.958897155450085,0.0148366744424397,0.0330993705695416,0.0155040025968996,0.0330993705695416
"3","SteCoe_2140",2.83492559449504e-18,1.92852900879511e-14,1.59972125499044,0.183499165467936,4.14806473866149,0.798037177455147,0.019535672903015,0.0208706595698996,0.0205273451792236,0.0208706595698996
"4","SteCoe_5624",2.49908524036197e-18,1.92852900879511e-14,0.869941214822615,0.0996252534867972,5.6236059205658,0.233770297435241,0.00386300705486059,0.00511163595997491,0.00804722230390973,0.00804722230390973
"5","SteCoe_20227",7.43170522193808e-18,4.04448261588314e-14,1.27818923729456,0.148487749497096,4.81866821906552,0.509974068476333,0.00884006602252254,0.0176182680783322,0.0131154214776975,0.0176182680783322
"6","SteCoe_21863",1.38704610363118e-17,6.29048525431799e-14,0.512681879320436,0.0600597104711552,8.19340292796158,0.0815847646177229,0.000268948905383607,0.00337365349816638,0.00405965368087119,0.00405965368087119
"7","SteCoe_32623",3.48381709920525e-17,1.35425924409249e-13,1.47335727850631,0.174794472791613,4.35354441292142,0.659284215910976,0.0188548500853927,-0.00812189692176105,0.0178088791768047,0.0178088791768047
"8","SteCoe_4652",3.12327966111799e-16,1.06234453573352e-12,1.50493182575773,0.184236709458597,5.1557701547117,0.70999478865447,0.00717838307163734,0.0335534150629202,0.0104726466059732,0.0335534150629202
"9","SteCoe_31442",4.59884180367421e-16,1.39043427021977e-12,0.664848217198833,0.0818612148163918,6.33731510968379,0.137253022982098,0.00197238481647661,0.00422238506133464,0.00606912537298192,0.00606912537298192
"10","SteCoe_9191",5.78893974203149e-16,1.57522839320419e-12,0.611865024973998,0.0755978917356086,6.89732642625503,0.117457179747311,0.00106056490657096,0.0057974845752716,0.005118211903029,0.0057974845752716
"11","SteCoe_27861",2.32527591810944e-15,5.75209845524326e-12,0.471437721834731,0.0595051601003592,8.26732131617067,0.0692787632960291,0.000219144113135175,0.00325113005408142,0.00402989278114808,0.00402989278114808
"12","SteCoe_8812",8.89494914702582e-15,2.01700384366433e-11,1.46915564875251,0.189467444438766,4.53164435038956,0.679833617330368,0.0114325463543835,0.0316449486482049,0.0158125806765345,0.0316449486482049
"13","SteCoe_24860",2.16510813751845e-13,4.53190442538573e-10,0.828009732629303,0.112835776911247,5.30174547473108,0.206064154354497,0.00569632608374282,-0.00518416720928622,0.00958196897765472,0.00958196897765472
"14","SteCoe_21446",3.01095513180987e-13,5.85222143511989e-10,1.9852187686971,0.272174986110128,3.64712153774559,1.24899936863382,0.0424553130933668,0.0464397545834912,0.0293685736339208,0.0464397545834912
"15","SteCoe_25211",7.84948915944636e-13,1.4239496634513e-09,0.720338863031237,0.100553209330049,5.68761131145478,0.164766276393856,0.00373556996828965,0.00839756751959756,0.00779483724857387,0.00839756751959756
"16","SteCoe_25528",3.22955344334962e-11,5.49246117168665e-08,0.531003569905076,0.0800221794312464,6.39020718768725,0.0868038179430129,0.00171892371251937,0.00123358371072366,0.00596533532859254,0.00596533532859254
"17","SteCoe_640",1.0332067062282e-10,1.65379927548092e-07,0.763925625006678,0.118217941690118,7.12015778577084,0.187652641726256,0.000939828980528097,0.0158307491044097,0.0048523019074834,0.0158307491044097
"18","SteCoe_20383",2.3277551143838e-10,3.51891913430542e-07,0.764949026027109,0.120692603317123,5.86921132470017,0.188654137771864,0.00357029638344895,0.0139097490111082,0.00716506592535799,0.0139097490111082
"19","SteCoe_7519",4.2101447722712e-10,6.02959207359325e-07,0.689198743274886,0.110341875841059,5.40613588720034,0.149930515183292,0.00557795281045418,0.00433143767459566,0.00903244266649436,0.00903244266649436
"20","SteCoe_8609",1.15666667039186e-09,1.57370283840165e-06,0.38462510970306,0.0631969077876158,7.77631098940726,0.047975406742752,0.000453461990383569,0.00433915699431612,0.00428386741597284,0.00433915699431612
"21","SteCoe_8719",1.40295368016897e-09,1.81789393290846e-06,1.65172722846722,0.272781002187562,3.71406978835616,0.885429378817005,0.0297688518252231,0.0595225183601177,0.0279452846332699,0.0595225183601177
"22","SteCoe_13606",2.11520133340926e-09,2.61621561288179e-06,-1.10512112892961,0.184534281276585,4.24311038932349,0.397035423751635,0.018059835919125,0.0228036452403937,0.0192082135143145,0.0228036452403937
"23","SteCoe_36926",3.58680676566821e-09,4.24350430002598e-06,0.499825315566563,0.0846845430129263,6.9226629438544,0.0814019284671416,0.00104900748727127,0.00755675870309853,0.00508537945906794,0.00755675870309853
"24","SteCoe_11474",6.35259401828583e-09,7.20251815964899e-06,0.56547530249821,0.0973748495663282,5.5060930701437,0.0968103964082793,0.00282416224284603,-0.00164856079265036,0.00855407135083202,0.00855407135083202
"25","SteCoe_35423",1.07103183413482e-08,1.16575388954571e-05,0.620320725098044,0.108465149332403,6.06485525222591,0.12602756035358,0.00220526997208277,0.0119123563715578,0.0066420944003583,0.0119123563715578
"26","SteCoe_1382",2.17380805135464e-08,2.27505734174659e-05,1.12891239194025,0.201679119544233,4.20876049413264,0.418939977137,0.0133761562844177,0.0354332044277465,0.0196724907809379,0.0354332044277465
"27","SteCoe_1639",2.89853261220778e-08,2.92118410780689e-05,0.545212677390205,0.0982815385519015,5.60899285926067,0.0957215902572622,0.00348398148866071,0.00524206008622401,0.00810713149549396,0.00810713149549396
"28","SteCoe_12774",4.73197927169396e-08,4.59863885578802e-05,-0.403961862421771,0.0739708095637321,6.78447969856029,0.0538800684881423,0.00105559853098349,0.00551041827003321,0.00527391596387224,0.00551041827003321
"29","SteCoe_11642",6.14754345286656e-08,5.76830361710179e-05,0.610456786246695,0.112745735614978,5.19261149994516,0.113224928731613,0.00502328459070435,-0.00311970809841098,0.0102306364885307,0.0102306364885307
"30","SteCoe_25851",6.38517381095973e-08,5.79156548566751e-05,0.590645796998661,0.109223815715674,5.51377921147131,0.115395594981197,0.00384798246228208,0.0104678278411077,0.00851913069063688,0.0104678278411077
"31","SteCoe_28121",7.89816861743273e-08,6.93280858867619e-05,0.31698411018456,0.0590348591705437,8.48162663566126,0.0331756465165056,0.000222498208498317,0.00382012670304369,0.00395963930824479,0.00395963930824479
"32","SteCoe_1490",8.68216431446648e-08,7.3828241612796e-05,0.385562804408016,0.0720362385560562,6.90678321077196,0.0451784979573256,0.00112119249004125,-0.000346665670796461,0.00510587110832479,0.00510587110832479
"33","SteCoe_25398",8.99124253393966e-08,7.41396062397067e-05,-0.682079470764296,0.127586555905016,5.44147407707039,0.154220217654364,0.00384920690718229,0.0156847881900624,0.0088581492620149,0.0156847881900624
"34","SteCoe_3212",1.28540168320205e-07,0.000102873721181209,0.354209961307196,0.0670735936857474,7.20386361286253,0.0403224936525995,0.000634655073541894,0.00294279112089306,0.00476398529036298,0.00476398529036298
"35","SteCoe_34521",1.85008900160606e-07,0.000143836490922007,0.833451211395363,0.159854786377264,4.30455994239892,0.21411118470905,0.0122515206806437,-0.0046263097791354,0.0184127425926213,0.0184127425926213
"36","SteCoe_33794",2.14071231933676e-07,0.000161808119226313,-0.572213018685257,0.110323472935458,6.20751010740058,0.109182463438355,0.00171855946182516,0.0128869629548238,0.0063294163640241,0.0128869629548238
"37","SteCoe_397",2.23199924028481e-07,0.000164148463047,0.346510723383085,0.06690819040034,7.35499996377763,0.0397922354197114,0.000755165584716735,0.00427327574044414,0.00461688154646105,0.00461688154646105
"38","SteCoe_21712",2.42636390269064e-07,0.000173746810937145,-0.944683746570296,0.18296130603559,4.72763496533964,0.297855569865851,0.0116800391258622,0.0284897682816364,0.013915637448301,0.0284897682816364
"39","SteCoe_4453",3.28155839926079e-07,0.00022896021949304,0.595224187873228,0.116561739851639,6.84253493049831,0.11851552542632,0.00126364301804041,0.0150403240186491,0.00519180950383318,0.0150403240186491
"40","SteCoe_37625",3.58194464514572e-07,0.000243670739347651,-1.57145506371788,0.308738009921391,2.93446849672165,0.779857946780586,0.061911793857771,-0.00988960506414332,0.0524711966664939,0.0524711966664939
"41","SteCoe_17965",4.41469124042302e-07,0.000292995520349148,-0.53401780218488,0.105743011579424,6.20770953266149,0.0956159299632086,0.00237755293643801,0.0110403484610255,0.00632900409400235,0.0110403484610255
"42","SteCoe_10900",6.41405330256201e-07,0.000415554296228607,0.449677794670531,0.0903273262062056,6.27844138655845,0.0680061589795314,0.00188855214755843,0.0079022788839163,0.00618558741029671,0.0079022788839163
"43","SteCoe_18848",8.33414701405236e-07,0.000527396452091579,0.483837630180127,0.0981937797717893,5.61820740901445,0.075650998167348,0.00350116805278271,0.00372728855235313,0.00806925401026209,0.00806925401026209
"44","SteCoe_20696",8.91542082099482e-07,0.000551357990818386,-0.46618886286471,0.0948660278856234,5.77769039233281,0.0705638077813478,0.00333321558207012,0.00381903911609058,0.00746626031408493,0.00746626031408493
"45","SteCoe_231",1.045472935243e-06,0.000632185867575496,-1.10140033399421,0.225563652194726,4.43035559179893,0.409715873789048,0.0116744290252605,0.0493803244044473,0.0169117034475636,0.0493803244044473
"46","SteCoe_27812",1.28816808977633e-06,0.000760912155880974,0.368768342023211,0.0761670876540395,6.63390139218176,0.0457679674673511,0.00145260746041374,0.00517531313130176,0.00550910282962402,0.00550910282962402
"47","SteCoe_6952",1.31427993555569e-06,0.000760912155880974,0.687806750091787,0.142179855984567,4.78253847421097,0.156238659704358,0.0108282199201513,0.00825874283026331,0.0134299138171993,0.0134299138171993
"48","SteCoe_22184",1.34675223521133e-06,0.000763468230673657,-0.615177746752199,0.127294116024463,4.96081263483854,0.119901463305801,0.00752251141660313,0.000968642284818945,0.0119220389527362,0.0119220389527362
"49","SteCoe_32631",1.45628747934691e-06,0.000808715073479768,0.277355816168534,0.057576835404419,9.21156879691798,0.0233914447207647,8.79729374979884e-05,0.000330120518516477,0.00389013743272708,0.00389013743272708
"50","SteCoe_26991",1.66133180328742e-06,0.000904129993985079,1.39360978355341,0.290894055434843,3.95350583246637,0.658801884983329,0.0235254357653803,0.0780177860194151,0.0235289398328994,0.0780177860194151
"51","SteCoe_20207",1.82541828424193e-06,0.000955220325625138,0.425121272503933,0.0890894121342439,5.92905852742055,0.0592815916087373,0.00253475074093516,0.00421613286990274,0.00698955728437503,0.00698955728437503
"52","SteCoe_8222",1.81728065624535e-06,0.000955220325625138,-0.661188259253558,0.138534047336598,4.72856238878637,0.148423488296738,0.00872382105112087,0.0143061976746296,0.0139072899575271,0.0143061976746296
"53","SteCoe_23634",2.05524331806036e-06,0.00104000090418187,-1.34345634380283,0.282957115439492,3.13407579718863,0.606051923287466,0.0517933625218318,0.0343258894464987,0.044284312491574,0.044284312491574
"54","SteCoe_29047",2.0866390745141e-06,0.00104000090418187,2.00836089704171,0.423271996349688,3.62727602438903,1.37129731243432,0.0439838616245978,0.171007157848023,0.0298093348844966,0.171007157848023
"55","SteCoe_35442",2.1020928936828e-06,0.00104000090418187,1.66245420993335,0.350480796934603,3.64843955338464,0.939679310155461,0.0427909649908516,0.104613181833046,0.0293396173780171,0.104613181833046
"56","SteCoe_18807",2.2077838704076e-06,0.00107278583745823,0.572077582128994,0.12085949179116,5.07124770372001,0.110364351959633,0.00645998085469174,0.00978338443499705,0.0110684392525292,0.0110684392525292
"57","SteCoe_11943",2.54257483584282e-06,0.00117264413318846,0.543400964805939,0.115502078609524,5.2076265119614,0.0967943061811546,0.00587361238244511,0.00507161910495067,0.0101352638132998,0.0101352638132998
"58","SteCoe_18992",2.50647731285678e-06,0.00117264413318846,0.809047812913637,0.171859854204429,6.11255143880006,0.222949737612553,0.00263861130881399,0.0328043600757873,0.00653294593432955,0.0328043600757873
"59","SteCoe_34506",2.499788267583e-06,0.00117264413318846,0.324451438317156,0.0689127674641892,7.04879169869856,0.0338157170529746,0.000766570411208047,0.00221355799566262,0.00493219301228005,0.00493219301228005
"60","SteCoe_11431",2.60474691556358e-06,0.00118129613865668,0.820217126925961,0.174523406011168,4.59598499906085,0.229239417911968,0.0147711332329723,0.0217789698619144,0.0151588912223854,0.0217789698619144
"61","SteCoe_15524",2.67865875814148e-06,0.00119490136832439,0.537831682332595,0.114577646201676,5.57176826624735,0.0985941088644175,0.00404283636028086,0.0117108080506587,0.00826368398229589,0.0117108080506587
"62","SteCoe_22791",2.82135975230306e-06,0.00123825839064385,0.386763960613677,0.082581631193667,6.13636409449649,0.0480011083147221,0.00170329882963196,0.00246363443149991,0.00648037214309625,0.00648037214309625
"63","SteCoe_1689",3.29809224342516e-06,0.00142451409580702,0.431913605082612,0.0928581884386121,5.78013850433344,0.0580698935165496,0.00288942158116568,-8.26417946165788e-05,0.00745775021095528,0.00745775021095528
"64","SteCoe_32946",4.64207134112248e-06,0.00197367817598881,-0.602329992671222,0.131503161883379,4.79886128180361,0.111997449366657,0.00746423787163996,-0.00325487341128971,0.0132874600307515,0.0132874600307515
"65","SteCoe_20748",4.79999221825208e-06,0.00200942443462857,-0.487335218652565,0.106559911445632,5.36392723368835,0.0740165091139362,0.00437773175071975,-0.000687299067795712,0.00924828592204142,0.00924828592204142
"66","SteCoe_13506",5.16757816473094e-06,0.00213052984000748,0.462150021325735,0.10139612182288,5.54327435918883,0.0728893362536696,0.00394999323738722,0.00780273154962113,0.00838741498747717,0.00838741498747717
"67","SteCoe_14134",5.25008651269458e-06,0.00213224035965571,1.16123101836959,0.254961326493159,3.43603098330288,0.463041993613537,0.0305993269742471,0.0474070066343343,0.0345721230626006,0.0474070066343343
"68","SteCoe_34326",5.55190343513731e-06,0.00218946151265973,-0.530475502135519,0.116773500576482,5.28466744577557,0.0966937229029765,0.00393051952031374,0.0124327410039491,0.00967698287600792,0.0124327410039491
"69","SteCoe_6052",5.5398066016327e-06,0.00218946151265973,-0.842735976904705,0.185492588948387,3.92563753979152,0.215989732086177,0.0172922797077344,-0.0133875409673099,0.0239967209579958,0.0239967209579958
"70","SteCoe_2520",6.04034976779829e-06,0.00234805653616513,0.285316790182561,0.0630538242408715,7.70891531089348,0.0279091438619172,0.000441381374974899,0.00420854213688303,0.00432956032670356,0.00432956032670356
"71","SteCoe_25128",6.54255376863826e-06,0.00250745676899177,0.277505012018116,0.0615576330758546,7.879774078751,0.0239974654081459,0.000328202087991473,0.000864805778133127,0.00421900853989038,0.00421900853989038
"72","SteCoe_22595",6.67224402233401e-06,0.00252164489016293,-0.473559127487557,0.105144595624367,5.98222679599689,0.0772273215581434,0.00261124451902849,0.0106552186677855,0.00684604794238836,0.0106552186677855
"73","SteCoe_1202",6.8721570775089e-06,0.00256162008542596,-0.804167422407764,0.178798829127488,4.03509303278559,0.208386152017664,0.0161452806102526,0.00302882477518679,0.0222175449465802,0.0222175449465802
"74","SteCoe_2893",6.98774521795281e-06,0.00256950723142857,0.362946868472441,0.080761438883922,6.29028079998496,0.0440031160881624,0.00166487558110734,0.00431377413619545,0.00616201643161442,0.00616201643161442
"75","SteCoe_32372",7.17118498439326e-06,0.00260180152813767,0.788664809046034,0.175706182715418,4.10437363441249,0.197889898418047,0.0158819716600662,-0.000825646180383515,0.0211652235132427,0.0211652235132427
"76","SteCoe_37238",7.8783914422512e-06,0.00282077512546181,0.473859919564261,0.106045411960267,5.49838656768523,0.0770597017127761,0.00490539200888055,0.00802358759370891,0.00858936326850677,0.00858936326850677
"77","SteCoe_33689",8.02786891829254e-06,0.00283696546929426,-0.723334302517459,0.162021308388302,5.27752360892662,0.180589567894197,0.00513122194312906,0.0263698633030995,0.00971723466834825,0.0263698633030995
"78","SteCoe_20511",9.10859942346019e-06,0.00317761665271507,-0.862337182601455,0.194337405542468,4.85355929252334,0.257077949422784,0.00803644500374348,0.0372839876278296,0.0128150733666939,0.0372839876278296
"79","SteCoe_31108",9.45771108124988e-06,0.00322462775229079,-1.7782692143404,0.401486400524685,3.59421879748108,1.09374461642689,0.0562093158950988,0.137220279872422,0.0305639556045086,0.137220279872422
"80","SteCoe_5065",9.48036530018241e-06,0.00322462775229079,-0.560813261137756,0.126631632774404,4.94896562047792,0.106144332475873,0.00722471636978139,0.00849645471752913,0.0120179681331525,0.0120179681331525
"81","SteCoe_24333",1.13917505028112e-05,0.00382692497446907,0.83642402865429,0.190576486762268,3.9574759482373,0.242569004289066,0.0194184651031467,0.024164811664832,0.023463159122346,0.024164811664832
"82","SteCoe_20629",1.21145876535609e-05,0.00402012249562251,0.899853136576808,0.205656488431059,6.74261439605097,0.280985832332551,0.0010639259579866,0.0496895835225665,0.00533594589483582,0.0496895835225665
"83","SteCoe_5697",1.25042645594153e-05,0.00409944027621988,0.343159024605887,0.0785511662993964,6.46654415138985,0.0380477115751899,0.00158967442027359,0.00203736121259415,0.00581466845212093,0.00581466845212093
"84","SteCoe_32269",1.35124023857997e-05,0.00437721406333329,0.331368109118622,0.0761478973250449,6.58418608063733,0.0368266222146944,0.00136358923490432,0.0038166442216814,0.00559461348552637,0.00559461348552637
"85","SteCoe_8742",1.66675448797889e-05,0.00533577133792867,-0.923578975863104,0.214515831621549,3.89278117024894,0.297314775211558,0.0266280625975326,0.0285923878220092,0.0245623107565307,0.0285923878220092
"86","SteCoe_16365",1.76343470709529e-05,0.00557963044357789,-0.987177081543897,0.229955019884306,3.7108880365665,0.311145558751108,0.0354443672471951,-0.0103910583759281,0.0280108061567947,0.0280108061567947
"87","SteCoe_29048",1.78764235937604e-05,0.00559121106218178,-2.40726838324647,0.561149632053346,1.25176651438632,1.9033604791043,0.140243840519382,0.0795937040284598,0.237622850944946,0.237622850944946
"88","SteCoe_5458",1.80872264687659e-05,0.00559285817547259,0.338555386902835,0.0789673626882174,7.11413928764042,0.0399981849332174,0.00121719770345915,0.00626581554045982,0.00485886805280047,0.00626581554045982
"89","SteCoe_22918",1.95158561381571e-05,0.00593311882770481,0.403217528582135,0.0944223957638885,7.90275999049859,0.0567993425463786,0.000312209256966414,0.0103864973291844,0.00420545064745017,0.0103864973291844
